admissionNo,firstName,lastName,classCode,guardianName,guardianRelation,guardianPhone,guardianEmail,academicYear
PAK00196,Qadir,Arora,3-DIAMOND,"Geeta Sidhu",Parent,9765000196,geeta.sidhu.196@paramountkasrawad.edu,2025-2026
PAK00197,Mohit,Mirza,3-DIAMOND,"Pankaj Verma",Guardian,9765000197,pankaj.verma.197@paramountkasrawad.edu,2025-2026
PAK00198,Aarav,Naik,3-DIAMOND,"Pankaj Sharma",Parent,9765000198,pankaj.sharma.198@paramountkasrawad.edu,2025-2026
PAK00199,Sneha,Patel,3-DIAMOND,"Rekha Mirza",Parent,9765000199,rekha.mirza.199@paramountkasrawad.edu,2025-2026
PAK00200,Gaurav,Khanna,3-DIAMOND,"Kishore Kaur",Parent,9765000200,kishore.kaur.200@paramountkasrawad.edu,2025-2026
PAK00201,Zara,Gaikwad,3-DIAMOND,"Jagdish Arora",Mother,9765000201,jagdish.arora.201@paramountkasrawad.edu,2025-2026
PAK00202,Rahul,Trivedi,3-DIAMOND,"Ramesh Kumar",Parent,9765000202,ramesh.kumar.202@paramountkasrawad.edu,2025-2026
PAK00203,Avni,Rajput,3-DIAMOND,"Ashok Arora",Parent,9765000203,ashok.arora.203@paramountkasrawad.edu,2025-2026
PAK00204,Ajay,Farooqui,3-DIAMOND,"Umesh Dubey",Guardian,9765000204,umesh.dubey.204@paramountkasrawad.edu,2025-2026
PAK00205,Divya,Shah,3-DIAMOND,"Kishore Choudhary",Guardian,9765000205,kishore.choudhary.205@paramountkasrawad.edu,2025-2026
PAK00206,Neha,Koshal,3-DIAMOND,"Meena Sidhu",Guardian,9765000206,meena.sidhu.206@paramountkasrawad.edu,2025-2026
PAK00207,Divya,Pillai,3-DIAMOND,"Seema Soni",Parent,9765000207,seema.soni.207@paramountkasrawad.edu,2025-2026
PAK00208,Ekta,Dhillon,3-DIAMOND,"Nirmala Rajak",Parent,9765000208,nirmala.rajak.208@paramountkasrawad.edu,2025-2026
PAK00209,Amita,Srivastava,3-DIAMOND,"Deepa Singh",Parent,9765000209,deepa.singh.209@paramountkasrawad.edu,2025-2026
PAK00210,Anuj,Mishra,3-DIAMOND,"Rekha Pillai",Parent,9765000210,rekha.pillai.210@paramountkasrawad.edu,2025-2026
PAK00211,Anjali,Mehta,4-RUBY,"Geeta Qureshi",Guardian,9765000211,geeta.qureshi.211@paramountkasrawad.edu,2025-2026
PAK00212,Chetan,Shukla,4-RUBY,"Geeta Kapoor",Parent,9765000212,geeta.kapoor.212@paramountkasrawad.edu,2025-2026
PAK00213,Dhruv,Mehta,4-RUBY,"Satish Sidhu",Guardian,9765000213,satish.sidhu.213@paramountkasrawad.edu,2025-2026
PAK00214,Neha,Shah,4-RUBY,"Geeta Gaikwad",Guardian,9765000214,geeta.gaikwad.214@paramountkasrawad.edu,2025-2026
PAK00215,Tushar,Rajak,4-RUBY,"Harish Jadav",Guardian,9765000215,harish.jadav.215@paramountkasrawad.edu,2025-2026
PAK00216,Heena,Qureshi,4-RUBY,"Naresh Khan",Guardian,9765000216,naresh.khan.216@paramountkasrawad.edu,2025-2026
PAK00217,Zara,Rajput,4-RUBY,"Savita Trivedi",Guardian,9765000217,savita.trivedi.217@paramountkasrawad.edu,2025-2026
PAK00218,Sanjay,Kumar,4-RUBY,"Gopal Desai",Guardian,9765000218,gopal.desai.218@paramountkasrawad.edu,2025-2026
PAK00219,Kartik,Verma,4-RUBY,"Geeta Singh",Guardian,9765000219,geeta.singh.219@paramountkasrawad.edu,2025-2026
PAK00220,Priya,Chopra,4-RUBY,"Jagdish Deshmukh",Father,9765000220,jagdish.deshmukh.220@paramountkasrawad.edu,2025-2026
PAK00221,Harsh,Kaur,4-RUBY,"Naresh Yadav",Father,9765000221,naresh.yadav.221@paramountkasrawad.edu,2025-2026
PAK00222,Kartik,Dubey,4-RUBY,"Umesh Chandel",Mother,9765000222,umesh.chandel.222@paramountkasrawad.edu,2025-2026
PAK00223,Om,Kaur,4-RUBY,"Savita Salve",Parent,9765000223,savita.salve.223@paramountkasrawad.edu,2025-2026
PAK00224,Om,Pillai,4-RUBY,"Seema Kapoor",Parent,9765000224,seema.kapoor.224@paramountkasrawad.edu,2025-2026
PAK00225,Anuj,Naik,4-RUBY,"Ashok Qureshi",Father,9765000225,ashok.qureshi.225@paramountkasrawad.edu,2025-2026
PAK00226,Uma,Malhotra,4-RUBY,"Mahesh Patel",Parent,9765000226,mahesh.patel.226@paramountkasrawad.edu,2025-2026
PAK00227,Deepak,Kapoor,4-RUBY,"Kavita Choudhary",Mother,9765000227,kavita.choudhary.227@paramountkasrawad.edu,2025-2026
PAK00228,Rakesh,Dhillon,4-RUBY,"Savita Singh",Father,9765000228,savita.singh.228@paramountkasrawad.edu,2025-2026
PAK00229,Pooja,Mirza,4-RUBY,"Geeta Rao",Father,9765000229,geeta.rao.229@paramountkasrawad.edu,2025-2026
PAK00230,Anuj,Desai,4-RUBY,"Meena Chaurasia",Father,9765000230,meena.chaurasia.230@paramountkasrawad.edu,2025-2026
PAK00231,Zaid,Grewal,4-RUBY,"Vinod Dubey",Father,9765000231,vinod.dubey.231@paramountkasrawad.edu,2025-2026
PAK00232,Sanskriti,Grewal,4-RUBY,"Seema Shah",Father,9765000232,seema.shah.232@paramountkasrawad.edu,2025-2026
PAK00233,Zaid,Saxena,4-RUBY,"Jagdish Chaurasia",Father,9765000233,jagdish.chaurasia.233@paramountkasrawad.edu,2025-2026
PAK00234,Deepak,Upadhyay,4-RUBY,"Rekha Menon",Father,9765000234,rekha.menon.234@paramountkasrawad.edu,2025-2026
PAK00235,Kavya,Saxena,4-RUBY,"Arvind Grewal",Mother,9765000235,arvind.grewal.235@paramountkasrawad.edu,2025-2026
PAK00236,Priya,Khatri,4-RUBY,"Kishore Pandey",Father,9765000236,kishore.pandey.236@paramountkasrawad.edu,2025-2026
PAK00237,Sanskriti,Arora,4-RUBY,"Kavita Mirza",Father,9765000237,kavita.mirza.237@paramountkasrawad.edu,2025-2026
PAK00238,Yogesh,Khan,4-RUBY,"Deepa Yadav",Guardian,9765000238,deepa.yadav.238@paramountkasrawad.edu,2025-2026
PAK00239,Kartik,Joshi,4-RUBY,"Anil Rajput",Father,9765000239,anil.rajput.239@paramountkasrawad.edu,2025-2026
PAK00240,Sunita,Dhillon,4-RUBY,"Bharat Mehta",Parent,9765000240,bharat.mehta.240@paramountkasrawad.edu,2025-2026
PAK00241,Avni,Malhotra,4-RUBY,"Umesh Tiwari",Guardian,9765000241,umesh.tiwari.241@paramountkasrawad.edu,2025-2026
PAK00242,Deepak,Gaikwad,4-RUBY,"Rekha Sharma",Guardian,9765000242,rekha.sharma.242@paramountkasrawad.edu,2025-2026
PAK00243,Kavya,Singh,4-RUBY,"Harish Rajput",Mother,9765000243,harish.rajput.243@paramountkasrawad.edu,2025-2026
PAK00244,Zaid,Koshal,4-RUBY,"Savita Chandel",Mother,9765000244,savita.chandel.244@paramountkasrawad.edu,2025-2026
PAK00245,Tanvi,Saxena,4-RUBY,"Rekha Verma",Guardian,9765000245,rekha.verma.245@paramountkasrawad.edu,2025-2026
PAK00246,Anuj,Reddy,4-DIAMOND,"Jagdish Desai",Guardian,9765000246,jagdish.desai.246@paramountkasrawad.edu,2025-2026
PAK00247,Lakshmi,Gaikwad,4-DIAMOND,"Suresh Salve",Parent,9765000247,suresh.salve.247@paramountkasrawad.edu,2025-2026
PAK00248,Harsh,Chandel,4-DIAMOND,"Mahesh Salve",Parent,9765000248,mahesh.salve.248@paramountkasrawad.edu,2025-2026
PAK00249,Sanskriti,Qureshi,4-DIAMOND,"Kishore Mehta",Father,9765000249,kishore.mehta.249@paramountkasrawad.edu,2025-2026
PAK00250,Omkar,Arora,4-DIAMOND,"Kishore Gaikwad",Father,9765000250,kishore.gaikwad.250@paramountkasrawad.edu,2025-2026
PAK00251,Kavya,Khatri,4-DIAMOND,"Ashok Farooqui",Parent,9765000251,ashok.farooqui.251@paramountkasrawad.edu,2025-2026
PAK00252,Jatin,Reddy,4-DIAMOND,"Vinod Gaikwad",Guardian,9765000252,vinod.gaikwad.252@paramountkasrawad.edu,2025-2026
PAK00253,Mona,Srivastava,4-DIAMOND,"Pankaj Gaikwad",Father,9765000253,pankaj.gaikwad.253@paramountkasrawad.edu,2025-2026
PAK00254,Bhavna,Upadhyay,4-DIAMOND,"Nirmala Sahu",Father,9765000254,nirmala.sahu.254@paramountkasrawad.edu,2025-2026
PAK00255,Waqar,Yadav,4-DIAMOND,"Anil Grewal",Guardian,9765000255,anil.grewal.255@paramountkasrawad.edu,2025-2026
PAK00256,Chetan,Khanna,4-DIAMOND,"Harish Sidhu",Father,9765000256,harish.sidhu.256@paramountkasrawad.edu,2025-2026
PAK00257,Anjali,Kapoor,4-DIAMOND,"Ashok Yadav",Father,9765000257,ashok.yadav.257@paramountkasrawad.edu,2025-2026
PAK00258,Anjali,Deshmukh,4-DIAMOND,"Rajesh Salve",Guardian,9765000258,rajesh.salve.258@paramountkasrawad.edu,2025-2026
PAK00259,Pooja,Chandel,4-DIAMOND,"Geeta Choudhary",Mother,9765000259,geeta.choudhary.259@paramountkasrawad.edu,2025-2026
PAK00260,Tanvi,Chaurasia,4-DIAMOND,"Bharat Khatri",Parent,9765000260,bharat.khatri.260@paramountkasrawad.edu,2025-2026
PAK00261,Priya,Menon,4-DIAMOND,"Ramesh Chauhan",Father,9765000261,ramesh.chauhan.261@paramountkasrawad.edu,2025-2026
PAK00262,Kavya,Jadav,4-DIAMOND,"Savita Rao",Parent,9765000262,savita.rao.262@paramountkasrawad.edu,2025-2026
PAK00263,Zara,Mehta,4-DIAMOND,"Bharat Chauhan",Guardian,9765000263,bharat.chauhan.263@paramountkasrawad.edu,2025-2026
PAK00264,Bhavna,Sharma,4-DIAMOND,"Pankaj Chandel",Father,9765000264,pankaj.chandel.264@paramountkasrawad.edu,2025-2026
PAK00265,Aarav,Gupta,4-DIAMOND,"Sanjeev Deshmukh",Guardian,9765000265,sanjeev.deshmukh.265@paramountkasrawad.edu,2025-2026
PAK00266,Uma,Saxena,4-DIAMOND,"Umesh Trivedi",Guardian,9765000266,umesh.trivedi.266@paramountkasrawad.edu,2025-2026
PAK00267,Arjun,Gupta,4-DIAMOND,"Suresh Singh",Guardian,9765000267,suresh.singh.267@paramountkasrawad.edu,2025-2026
PAK00268,Pinkesh,Rajput,4-DIAMOND,"Arvind Saxena",Parent,9765000268,arvind.saxena.268@paramountkasrawad.edu,2025-2026
PAK00269,Sunita,Kaur,4-DIAMOND,"Vinod Upadhyay",Guardian,9765000269,vinod.upadhyay.269@paramountkasrawad.edu,2025-2026
PAK00270,Aryan,Srivastava,4-DIAMOND,"Bharat Nair",Father,9765000270,bharat.nair.270@paramountkasrawad.edu,2025-2026
PAK00271,Ajay,Menon,4-DIAMOND,"Ashok Khatri",Parent,9765000271,ashok.khatri.271@paramountkasrawad.edu,2025-2026
PAK00272,Isha,Reddy,4-DIAMOND,"Naresh More",Mother,9765000272,naresh.more.272@paramountkasrawad.edu,2025-2026
PAK00273,Priya,Kapoor,4-DIAMOND,"Seema Arora",Guardian,9765000273,seema.arora.273@paramountkasrawad.edu,2025-2026
PAK00274,Sanjeev,Naik,4-DIAMOND,"Harish More",Parent,9765000274,harish.more.274@paramountkasrawad.edu,2025-2026
PAK00275,Mohit,Shah,4-DIAMOND,"Satish Grewal",Father,9765000275,satish.grewal.275@paramountkasrawad.edu,2025-2026
PAK00276,Ravi,Gupta,4-DIAMOND,"Savita Nair",Mother,9765000276,savita.nair.276@paramountkasrawad.edu,2025-2026
PAK00277,Zaid,Qureshi,4-DIAMOND,"Kavita Shah",Guardian,9765000277,kavita.shah.277@paramountkasrawad.edu,2025-2026
PAK00278,Radha,Deshmukh,4-DIAMOND,"Nirmala Srivastava",Father,9765000278,nirmala.srivastava.278@paramountkasrawad.edu,2025-2026
PAK00279,Ujjwal,Dubey,4-DIAMOND,"Meena Malhotra",Father,9765000279,meena.malhotra.279@paramountkasrawad.edu,2025-2026
PAK00280,Mohit,Malhotra,4-DIAMOND,"Vinod Gupta",Parent,9765000280,vinod.gupta.280@paramountkasrawad.edu,2025-2026
PAK00281,Omkar,Pillai,5-RUBY,"Priya Patel",Guardian,9765000281,priya.patel.281@paramountkasrawad.edu,2025-2026
PAK00282,Dhruv,Rajak,5-RUBY,"Seema Deshmukh",Mother,9765000282,seema.deshmukh.282@paramountkasrawad.edu,2025-2026
PAK00283,Amita,Srivastava,5-RUBY,"Suresh Chopra",Mother,9765000283,suresh.chopra.283@paramountkasrawad.edu,2025-2026
PAK00284,Yogesh,Verma,5-RUBY,"Ashok Khan",Father,9765000284,ashok.khan.284@paramountkasrawad.edu,2025-2026
PAK00285,Pooja,Arora,5-RUBY,"Kishore Kaur",Father,9765000285,kishore.kaur.285@paramountkasrawad.edu,2025-2026
PAK00286,Farhan,Kaur,5-RUBY,"Kavita Chaurasia",Guardian,9765000286,kavita.chaurasia.286@paramountkasrawad.edu,2025-2026
PAK00287,Dhruv,Jadav,5-RUBY,"Pankaj Reddy",Parent,9765000287,pankaj.reddy.287@paramountkasrawad.edu,2025-2026
PAK00288,Imran,Chandel,5-RUBY,"Sanjeev Chopra",Mother,9765000288,sanjeev.chopra.288@paramountkasrawad.edu,2025-2026
PAK00289,Zaid,Joshi,5-RUBY,"Kishore Pillai",Father,9765000289,kishore.pillai.289@paramountkasrawad.edu,2025-2026
PAK00290,Yogesh,Jadav,5-RUBY,"Kishore Chauhan",Father,9765000290,kishore.chauhan.290@paramountkasrawad.edu,2025-2026
PAK00291,Namrata,Kapoor,5-RUBY,"Priya Farooqui",Mother,9765000291,priya.farooqui.291@paramountkasrawad.edu,2025-2026
PAK00292,Omkar,Gupta,5-RUBY,"Harish More",Mother,9765000292,harish.more.292@paramountkasrawad.edu,2025-2026
PAK00293,Waqar,Joshi,5-RUBY,"Satish Koshal",Father,9765000293,satish.koshal.293@paramountkasrawad.edu,2025-2026
PAK00294,Sonia,Khatri,5-RUBY,"Geeta Gaikwad",Father,9765000294,geeta.gaikwad.294@paramountkasrawad.edu,2025-2026
PAK00295,Waqar,Gaikwad,5-RUBY,"Arvind Verma",Father,9765000295,arvind.verma.295@paramountkasrawad.edu,2025-2026
PAK00296,Farhan,Patel,5-RUBY,"Sanjeev Dubey",Father,9765000296,sanjeev.dubey.296@paramountkasrawad.edu,2025-2026
PAK00297,Aarav,Trivedi,5-RUBY,"Harish Singh",Father,9765000297,harish.singh.297@paramountkasrawad.edu,2025-2026
PAK00298,Vaishnavi,Rajput,5-RUBY,"Kavita Malhotra",Mother,9765000298,kavita.malhotra.298@paramountkasrawad.edu,2025-2026
PAK00299,Anjali,Salve,5-RUBY,"Geeta Rajput",Mother,9765000299,geeta.rajput.299@paramountkasrawad.edu,2025-2026
PAK00300,Rahul,Mishra,5-RUBY,"Vinod Nair",Mother,9765000300,vinod.nair.300@paramountkasrawad.edu,2025-2026
PAK00301,Qadir,Chauhan,5-RUBY,"Deepa Chaurasia",Mother,9765000301,deepa.chaurasia.301@paramountkasrawad.edu,2025-2026
PAK00302,Farhan,Kapoor,5-RUBY,"Ramesh Desai",Father,9765000302,ramesh.desai.302@paramountkasrawad.edu,2025-2026
PAK00303,Yash,Mirza,5-RUBY,"Ashok Kumar",Mother,9765000303,ashok.kumar.303@paramountkasrawad.edu,2025-2026
PAK00304,Zara,Bhat,5-RUBY,"Umesh Dhillon",Father,9765000304,umesh.dhillon.304@paramountkasrawad.edu,2025-2026
PAK00305,Arjun,Arora,5-RUBY,"Sanjeev Tiwari",Parent,9765000305,sanjeev.tiwari.305@paramountkasrawad.edu,2025-2026
PAK00306,Bhavna,Arora,5-RUBY,"Jagdish Mirza",Mother,9765000306,jagdish.mirza.306@paramountkasrawad.edu,2025-2026
PAK00307,Sanskriti,Pillai,5-RUBY,"Deepa Sidhu",Mother,9765000307,deepa.sidhu.307@paramountkasrawad.edu,2025-2026
PAK00308,Vijay,Saxena,5-RUBY,"Geeta Nair",Parent,9765000308,geeta.nair.308@paramountkasrawad.edu,2025-2026
PAK00309,Omkar,Chandel,5-RUBY,"Geeta Kumar",Mother,9765000309,geeta.kumar.309@paramountkasrawad.edu,2025-2026
PAK00310,Pooja,Rajak,5-RUBY,"Satish Jadav",Mother,9765000310,satish.jadav.310@paramountkasrawad.edu,2025-2026
PAK00311,Radha,Pandey,5-RUBY,"Satish Kumar",Father,9765000311,satish.kumar.311@paramountkasrawad.edu,2025-2026
PAK00312,Qadir,Kaur,5-RUBY,"Gopal Desai",Father,9765000312,gopal.desai.312@paramountkasrawad.edu,2025-2026
PAK00313,Farhan,Bhat,5-RUBY,"Bharat Reddy",Mother,9765000313,bharat.reddy.313@paramountkasrawad.edu,2025-2026
PAK00314,Heena,Kapoor,5-RUBY,"Gopal Trivedi",Mother,9765000314,gopal.trivedi.314@paramountkasrawad.edu,2025-2026
PAK00315,Deepak,Sharma,5-RUBY,"Kavita Farooqui",Guardian,9765000315,kavita.farooqui.315@paramountkasrawad.edu,2025-2026
PAK00316,Anjali,Shah,5-DIAMOND,"Jagdish Nair",Mother,9765000316,jagdish.nair.316@paramountkasrawad.edu,2025-2026
PAK00317,Namrata,Farooqui,5-DIAMOND,"Arvind Arora",Parent,9765000317,arvind.arora.317@paramountkasrawad.edu,2025-2026
PAK00318,Bhavna,Shukla,5-DIAMOND,"Sanjeev Pillai",Parent,9765000318,sanjeev.pillai.318@paramountkasrawad.edu,2025-2026
PAK00319,Pinkesh,Naik,5-DIAMOND,"Ashok Malhotra",Guardian,9765000319,ashok.malhotra.319@paramountkasrawad.edu,2025-2026
PAK00320,Nisha,Srivastava,5-DIAMOND,"Naresh Dhillon",Father,9765000320,naresh.dhillon.320@paramountkasrawad.edu,2025-2026
PAK00321,Dhruv,Kumar,5-DIAMOND,"Seema Shah",Mother,9765000321,seema.shah.321@paramountkasrawad.edu,2025-2026
PAK00322,Tarun,Gaikwad,5-DIAMOND,"Pankaj Sidhu",Father,9765000322,pankaj.sidhu.322@paramountkasrawad.edu,2025-2026
PAK00323,Tarun,Yadav,5-DIAMOND,"Ramesh Shah",Guardian,9765000323,ramesh.shah.323@paramountkasrawad.edu,2025-2026
PAK00324,Alok,Yadav,5-DIAMOND,"Bharat Trivedi",Father,9765000324,bharat.trivedi.324@paramountkasrawad.edu,2025-2026
PAK00325,Mona,Pandey,5-DIAMOND,"Priya Chaurasia",Parent,9765000325,priya.chaurasia.325@paramountkasrawad.edu,2025-2026
PAK00326,Rakesh,Reddy,5-DIAMOND,"Suresh Mirza",Father,9765000326,suresh.mirza.326@paramountkasrawad.edu,2025-2026
PAK00327,Chetan,Joshi,5-DIAMOND,"Deepa More",Father,9765000327,deepa.more.327@paramountkasrawad.edu,2025-2026
PAK00328,Amita,Khatri,5-DIAMOND,"Gopal Sahu",Parent,9765000328,gopal.sahu.328@paramountkasrawad.edu,2025-2026
PAK00329,Yash,Grewal,5-DIAMOND,"Suresh Menon",Father,9765000329,suresh.menon.329@paramountkasrawad.edu,2025-2026
PAK00330,Priya,Soni,5-DIAMOND,"Jagdish Shukla",Guardian,9765000330,jagdish.shukla.330@paramountkasrawad.edu,2025-2026
PAK00331,Om,Salve,5-DIAMOND,"Nirmala Chauhan",Guardian,9765000331,nirmala.chauhan.331@paramountkasrawad.edu,2025-2026
PAK00332,Rahul,Shukla,5-DIAMOND,"Satish Srivastava",Guardian,9765000332,satish.srivastava.332@paramountkasrawad.edu,2025-2026
PAK00333,Anuj,Kaur,5-DIAMOND,"Ashok Sharma",Parent,9765000333,ashok.sharma.333@paramountkasrawad.edu,2025-2026
PAK00334,Neha,Sidhu,5-DIAMOND,"Bharat Rajput",Guardian,9765000334,bharat.rajput.334@paramountkasrawad.edu,2025-2026
PAK00335,Ravi,Sahu,5-DIAMOND,"Kishore Yadav",Father,9765000335,kishore.yadav.335@paramountkasrawad.edu,2025-2026
PAK00336,Ekta,Rao,5-DIAMOND,"Bharat Arora",Mother,9765000336,bharat.arora.336@paramountkasrawad.edu,2025-2026
PAK00337,Sneha,Kumar,5-DIAMOND,"Anil Sidhu",Mother,9765000337,anil.sidhu.337@paramountkasrawad.edu,2025-2026
PAK00338,Kartik,Salve,5-DIAMOND,"Ashok Yadav",Mother,9765000338,ashok.yadav.338@paramountkasrawad.edu,2025-2026
PAK00339,Dhruv,Naik,5-DIAMOND,"Kavita Choudhary",Parent,9765000339,kavita.choudhary.339@paramountkasrawad.edu,2025-2026
PAK00340,Qadir,Deshmukh,5-DIAMOND,"Ashok More",Guardian,9765000340,ashok.more.340@paramountkasrawad.edu,2025-2026
PAK00341,Sanjay,Salve,5-DIAMOND,"Priya Jadav",Parent,9765000341,priya.jadav.341@paramountkasrawad.edu,2025-2026
PAK00342,Sunita,Khatri,5-DIAMOND,"Pankaj Tiwari",Mother,9765000342,pankaj.tiwari.342@paramountkasrawad.edu,2025-2026
PAK00343,Yash,Rao,5-DIAMOND,"Satish Pillai",Parent,9765000343,satish.pillai.343@paramountkasrawad.edu,2025-2026
PAK00344,Ravi,Grewal,5-DIAMOND,"Gopal Joshi",Guardian,9765000344,gopal.joshi.344@paramountkasrawad.edu,2025-2026
PAK00345,Sanjay,Salve,5-DIAMOND,"Deepa Gaikwad",Mother,9765000345,deepa.gaikwad.345@paramountkasrawad.edu,2025-2026
PAK00346,Aryan,Khanna,5-DIAMOND,"Harish Desai",Guardian,9765000346,harish.desai.346@paramountkasrawad.edu,2025-2026
PAK00347,Anjali,Patel,5-DIAMOND,"Pankaj Menon",Guardian,9765000347,pankaj.menon.347@paramountkasrawad.edu,2025-2026
PAK00348,Ajay,Shah,5-DIAMOND,"Satish Soni",Guardian,9765000348,satish.soni.348@paramountkasrawad.edu,2025-2026
PAK00349,Amita,Farooqui,5-DIAMOND,"Deepa Rajput",Guardian,9765000349,deepa.rajput.349@paramountkasrawad.edu,2025-2026
PAK00350,Om,Saxena,5-DIAMOND,"Rekha Jadav",Father,9765000350,rekha.jadav.350@paramountkasrawad.edu,2025-2026
PAK00351,Jatin,Trivedi,6-RUBY,"Satish Arora",Parent,9765000351,satish.arora.351@paramountkasrawad.edu,2025-2026
PAK00352,Aarav,Pandey,6-RUBY,"Kishore Verma",Parent,9765000352,kishore.verma.352@paramountkasrawad.edu,2025-2026
PAK00353,Keerat,Chaurasia,6-RUBY,"Mahesh Khanna",Father,9765000353,mahesh.khanna.353@paramountkasrawad.edu,2025-2026
PAK00354,Imran,Choudhary,6-RUBY,"Harish Chopra",Parent,9765000354,harish.chopra.354@paramountkasrawad.edu,2025-2026
PAK00355,Uma,Mehta,6-RUBY,"Kavita Pillai",Mother,9765000355,kavita.pillai.355@paramountkasrawad.edu,2025-2026
PAK00356,Om,Patel,6-RUBY,"Meena Reddy",Parent,9765000356,meena.reddy.356@paramountkasrawad.edu,2025-2026
PAK00357,Imran,Rajput,6-RUBY,"Vinod Verma",Father,9765000357,vinod.verma.357@paramountkasrawad.edu,2025-2026
PAK00358,Bhavna,Shukla,6-RUBY,"Pankaj Reddy",Guardian,9765000358,pankaj.reddy.358@paramountkasrawad.edu,2025-2026
PAK00359,Lakshmi,Koshal,6-RUBY,"Savita Chandel",Mother,9765000359,savita.chandel.359@paramountkasrawad.edu,2025-2026
PAK00360,Aarav,Shah,6-RUBY,"Sanjeev Mehta",Father,9765000360,sanjeev.mehta.360@paramountkasrawad.edu,2025-2026
PAK00361,Kartik,Mirza,6-RUBY,"Priya Mirza",Mother,9765000361,priya.mirza.361@paramountkasrawad.edu,2025-2026
PAK00362,Vijay,Pandey,6-RUBY,"Deepa Naik",Father,9765000362,deepa.naik.362@paramountkasrawad.edu,2025-2026
PAK00363,Keerat,Desai,6-RUBY,"Rajesh Farooqui",Mother,9765000363,rajesh.farooqui.363@paramountkasrawad.edu,2025-2026
PAK00364,Sanjeev,Chauhan,6-RUBY,"Meena Grewal",Father,9765000364,meena.grewal.364@paramountkasrawad.edu,2025-2026
PAK00365,Neha,More,6-RUBY,"Pankaj Pandey",Mother,9765000365,pankaj.pandey.365@paramountkasrawad.edu,2025-2026
PAK00366,Mona,Qureshi,6-RUBY,"Jagdish Khatri",Mother,9765000366,jagdish.khatri.366@paramountkasrawad.edu,2025-2026
PAK00367,Sanjay,Sidhu,6-RUBY,"Vinod Nair",Mother,9765000367,vinod.nair.367@paramountkasrawad.edu,2025-2026
PAK00368,Tushar,Chaurasia,6-RUBY,"Naresh Rajput",Father,9765000368,naresh.rajput.368@paramountkasrawad.edu,2025-2026
PAK00369,Pooja,Rajak,6-RUBY,"Arvind Mirza",Father,9765000369,arvind.mirza.369@paramountkasrawad.edu,2025-2026
PAK00370,Harsh,Reddy,6-RUBY,"Priya Naik",Guardian,9765000370,priya.naik.370@paramountkasrawad.edu,2025-2026
PAK00371,Waqar,Kapoor,6-RUBY,"Nirmala Kumar",Guardian,9765000371,nirmala.kumar.371@paramountkasrawad.edu,2025-2026
PAK00372,Uma,Tiwari,6-RUBY,"Arvind Desai",Parent,9765000372,arvind.desai.372@paramountkasrawad.edu,2025-2026
PAK00373,Farhan,Jadav,6-RUBY,"Satish Chopra",Mother,9765000373,satish.chopra.373@paramountkasrawad.edu,2025-2026
PAK00374,Omkar,Desai,6-RUBY,"Bharat Soni",Guardian,9765000374,bharat.soni.374@paramountkasrawad.edu,2025-2026
PAK00375,Rakesh,Nair,6-RUBY,"Sanjeev Yadav",Mother,9765000375,sanjeev.yadav.375@paramountkasrawad.edu,2025-2026
PAK00376,Tushar,Mishra,6-RUBY,"Ashok Mirza",Father,9765000376,ashok.mirza.376@paramountkasrawad.edu,2025-2026
PAK00377,Sanjay,Chandel,6-RUBY,"Sanjeev Shukla",Guardian,9765000377,sanjeev.shukla.377@paramountkasrawad.edu,2025-2026
PAK00378,Kartik,Kapoor,6-RUBY,"Pankaj Trivedi",Mother,9765000378,pankaj.trivedi.378@paramountkasrawad.edu,2025-2026
PAK00379,Waqar,Chandel,6-RUBY,"Kavita Soni",Parent,9765000379,kavita.soni.379@paramountkasrawad.edu,2025-2026
PAK00380,Gaurav,Singh,6-RUBY,"Suresh Bhat",Guardian,9765000380,suresh.bhat.380@paramountkasrawad.edu,2025-2026
PAK00381,Bhoomika,Patel,6-RUBY,"Rekha Srivastava",Parent,9765000381,rekha.srivastava.381@paramountkasrawad.edu,2025-2026
PAK00382,Imran,Nair,6-RUBY,"Nirmala Trivedi",Parent,9765000382,nirmala.trivedi.382@paramountkasrawad.edu,2025-2026
PAK00383,Jagdish,Sidhu,6-RUBY,"Nirmala Chopra",Father,9765000383,nirmala.chopra.383@paramountkasrawad.edu,2025-2026
PAK00384,Dhruv,More,6-RUBY,"Vinod Nair",Father,9765000384,vinod.nair.384@paramountkasrawad.edu,2025-2026
PAK00385,Dhruv,Naik,6-RUBY,"Deepa Kumar",Guardian,9765000385,deepa.kumar.385@paramountkasrawad.edu,2025-2026
PAK00386,Radha,Gaikwad,6-DIAMOND,"Seema Bhat",Father,9765000386,seema.bhat.386@paramountkasrawad.edu,2025-2026
PAK00387,Aarav,Pandey,6-DIAMOND,"Anil Upadhyay",Parent,9765000387,anil.upadhyay.387@paramountkasrawad.edu,2025-2026
PAK00388,Avni,Kaur,6-DIAMOND,"Savita Verma",Father,9765000388,savita.verma.388@paramountkasrawad.edu,2025-2026
PAK00389,Tushar,Sharma,6-DIAMOND,"Ramesh Deshmukh",Father,9765000389,ramesh.deshmukh.389@paramountkasrawad.edu,2025-2026
PAK00390,Anjali,Mishra,6-DIAMOND,"Harish Sidhu",Guardian,9765000390,harish.sidhu.390@paramountkasrawad.edu,2025-2026
PAK00391,Sanjay,Singh,6-DIAMOND,"Kavita Yadav",Mother,9765000391,kavita.yadav.391@paramountkasrawad.edu,2025-2026
